LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
AL1000,A38 between A513 and A5127 (AL1000),A513,A5127,417216,314346,414414,310549
AL1001,A38 between A5127 and A513 (AL1001),A5127,A513,414399,310543,417204,314350
AL1004,A38 between A513 and A5121 (AL1004),A513,A5121,417204,314350,421987,321236
AL1007,A38 between A5121 and A513 (AL1007),A5121,A513,422031,321346,417216,314346
AL1012,A42 between A511 and M42 J11 (AL1012),A511,M42 J11,437463,317050,430734,310772
AL1016,A42 between A453 and A511 (AL1016),A453,A511,442569,322513,437463,317050
AL1018,A46 between A50 and A5630 (AL1018),A50,A5630,453813,307385,455243,307845
AL1020,A46 between A5630 and A50 (AL1020),A5630,A50,455329,307897,453900,307423
AL1025,A46 between A6 and A5630 (AL1025),A6,A5630,459228,310877,455329,307897
AL1027,A46 between A5630 and A6 (AL1027),A5630,A6,455243,307845,459119,310854
AL1037,A500 between M6 J16 and A34 (AL1037),M6 J16,A34,377734,352490,383163,351788
AL1039,A5103 between M60 J5 and M56 J3A (AL1039),M60 J5,M56 J3A,382488,390818,382260,389447
AL1040,A5103 between M56 J3A and M60 J5 (AL1040),M56 J3A,M60 J5,382241,389452,382467,390806
AL1046,A483 between A55 and A483 (AL1046),A55,A483,339071,362528,336641,359336
AL1047,A483 between A483 and A55 (AL1047),A483,A55,336625,359339,338948,362522
AL1051,A55 between A55 and A483 (AL1051),A55,A483,335731,363200,338948,362522
AL1053,A55 between A483 and A55 (AL1053),A483,A55,339071,362528,335727,363186
AL1059,A64 between A1079 and A1237 (AL1059),A1079,A1237,464940,451577,464117,455277
AL1061,A64 between A1237 and A1079 (AL1061),A1237,A1079,464159,455390,464928,451706
AL1064,A184 between A19 and A194(M) (AL1064),A19,A194(M),433792,560864,431132,561300
AL1065,A184 between A194(M) and A19 (AL1065),A194(M),A19,431109,561309,433766,560962
AL1073,A1 between A52 and A607 (AL1073),A52,A607,488783,336534,489972,334190
AL1082,A52 between A52 and A6005 (AL1082),A52,A6005,454469,338872,455057,338441
AL1085A,A52 between A6096 and M1 J25 (AL1085A),A6096,M1 J25,440061,335688,447184,335615
AL1085B,A52 between M1 J25 and A6007 (AL1085B),M1 J25,A6007,447184,335615,450482,337878
AL1086,A52 between A6096 and A6005 (AL1086),A6096,A6005,440057,335680,439599,335593
AL1087,A52 between A6005 and A6096 (AL1087),A6005,A6096,439427,335540,440061,335688
AL1088A,A5111 between A52 and A6 (AL1088A),A52,A6,438907,335438,438718,333893
AL1089A,A5111 between A6 and A52 (AL1089A),A6,A52,438801,333849,438897,335451
AL1093,A38 between A516 and A516 (AL1093),A516,A516,431986,335006,431272,333762
AL1094,A38 between A516 and A516 (AL1094),A516,A516,431258,333758,431984,335031
AL1097,A38 between A516 and A50 (AL1097),A516,A50,431272,333762,429188,329921
AL1098,A38 between A50 and A516 (AL1098),A50,A516,429163,329914,431258,333758
AL11,A303 between A338 and A3028 (AL11),A338,A3028,423161,143705,418714,142392
AL1103,A50 between A515 and A518 (AL1103),A515,A518,415231,332905,410015,334437
AL1105,A50 between A518 and A515 (AL1105),A518,A515,409963,334475,415237,332918
AL1109,A50 between A5007 and A520 (AL1109),A5007,A520,391972,342767,393103,342287
